,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,Is hit
18,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,63,Just Hold On,Steve Aoki,79,2016-12-10,198774,0.00383,0.647,0.932,1.5e-06,0.0574,-3.515,0.0824,114.991,4,1
19,Starving,1qOLh0tI7trd1zdDKxYZTe,0,HAIZ,Hailee Steinfeld,76,2016-07-15,181880,0.371,0.636,0.633,0.0,0.102,-4.23,0.126,99.721,4,1
20,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj,71,bloom,Machine Gun Kelly,89,2017-05-12,239293,0.214,0.697,0.691,0.0,0.185,-4.757,0.146,137.853,4,1
21,Mercy,4TZy1wLyHec06pwgFYDh1a,0,Illuminate,Shawn Mendes,90,2017-03-03,208733,0.137,0.469,0.68,0.0,0.11,-4.921,0.117,147.734,4,1
22,My Way,1vvNmPOiUuyCbgWmtc6yfm,74,My Way,Calvin Harris,87,2016-09-16,219159,0.093,0.818,0.913,3.69e-05,0.161,-3.06,0.0426,119.986,4,1
23,All We Know,2rizacJSyD9S1IQUxUxnsK,69,All We Know,The Chainsmokers,86,2016-09-29,194080,0.097,0.662,0.586,0.00272,0.115,-8.821,0.0307,90.0,4,1
24,Don't Let Me Down (feat. Daya),0QsvXIfqM0zZoerQfsI9lm,42,The Chainsmokers- Japan Special Edition,The Chainsmokers,86,2016-08-10,208053,0.16,0.542,0.859,0.00466,0.137,-5.651,0.197,159.797,4,1
25,Treat You Better,4Hf7WnR761jpxPr5D46Bcd,0,Illuminate,Shawn Mendes,90,2017-03-03,187973,0.123,0.624,0.803,0.0,0.114,-4.105,0.246,166.018,4,1
26,Heathens,6i0V12jOa3mr6uu4WYhUBr,79,Heathens,Twenty One Pilots,85,2016-06-16,195920,0.0841,0.732,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4,1
27,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,76,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,83,2016-05-06,236001,0.0123,0.666,0.83,0.0,0.191,-5.715,0.0751,113.03,4,1
28,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,64,Know-It-All (Deluxe),Alessia Cara,80,2015-11-13,230226,0.0285,0.573,0.739,0.0,0.111,-5.74,0.129,97.085,4,1
29,All Night,1yNyoWWWikbLhwIGWjZuDW,0,All Night,The Vamps,75,2016-10-14,197793,0.00251,0.563,0.775,0.0,0.326,-6.433,0.0366,144.945,4,1
30,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,75,This Is Acting,Sia,88,2016-01-29,211666,0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,4,1
31,Now and Later,43jBqV3j3Xi1g6wO0bhIMd,54,Now and Later,Sage The Gemini,70,2016-10-14,193181,0.273,0.781,0.57,0.0,0.196,-5.874,0.188,107.059,4,1
32,Love Me Now,6nxQdXa1uAL0rY72wPZu89,64,DARKNESS AND LIGHT,John Legend,81,2016-12-02,210293,0.591,0.495,0.762,0.0,0.0763,-3.842,0.0862,123.893,4,1
33,By Your Side,1D3ODoXHBLpdxolZRHWV1j,0,By Your Side,Jonas Blue,80,2016-10-28,201254,0.0778,0.696,0.743,0.0,0.0581,-3.838,0.0331,122.978,4,1
34,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,71,Primera Cita,CNCO,75,2016-08-26,222560,0.4,0.761,0.838,0.0,0.176,-3.073,0.0502,93.974,4,1
35,Alone,0JiVRyTJcJnmlwCZ854K4p,62,Alone,Alan Walker,85,2016-12-02,161200,0.186,0.676,0.929,0.000405,0.121,-3.194,0.0458,97.019,4,1
