,Unnamed: 0,name,trackID,popularity,album,artist,artist_popularity,release_date,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,year,Is hit,Pop,Rock,Country,R&B,Hiphop
44,44,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,79,This Is What You Came For (feat. Rihanna),Calvin Harris,87,2016-04-29,222160,0.199,0.631,0.927,0.119,0.148,-2.787,0.0332,123.962,4,2017,1,1,0,0,0,0
45,45,"How Far I'll Go - From ""Moana""",5hYTyyh2odQKphUbMqc5gN,0,"How Far I'll Go (From ""Moana"")",Alessia Cara,80,2016-10-28,175517,0.157,0.314,0.555,0.000108,0.067,-9.601,0.37,179.666,4,2017,1,1,0,0,0,0
46,46,Caroline,5GFDrUTLGJix84sNhjCG0g,0,Caroline,Aminé,76,2016-08-26,209746,0.303,0.945,0.394,0.0,0.131,-8.571,0.492,120.058,4,2017,1,1,0,0,0,1
47,47,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,75,7/27 (Deluxe),Fifth Harmony,73,2016-05-27,214480,0.103,0.803,0.585,3.94e-06,0.0644,-5.861,0.0432,105.017,4,2017,1,1,0,0,0,0
48,48,Vente Pa' Ca (feat. Maluma),7DM4BPaS7uofFul3ywMe46,72,Vente Pa' Ca (feat. Maluma),Ricky Martin,79,2016-09-22,259195,0.00431,0.663,0.92,1.69e-05,0.101,-4.07,0.226,99.935,4,2017,1,0,0,0,0,0
49,49,Otra vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,72,Motivan2,Zion & Lennox,84,2016-09-30,209453,0.0559,0.832,0.772,0.000486,0.44,-5.429,0.1,96.016,4,2017,1,0,0,0,0,0
50,50,Party Monster,4F7A0DXBrmUAkp32uenhZt,71,Starboy,The Weeknd,97,2016-11-25,249213,0.189,0.573,0.63,2.31e-05,0.259,-8.389,0.105,77.525,4,2017,1,1,0,0,0,0
51,51,Sexual,3AsAuGTaDQzavZZThyYlop,0,Sexual,NEIKED,74,2016-08-26,188888,0.0623,0.803,0.569,0.0,0.083,-7.392,0.0739,107.986,4,2017,1,0,0,0,0,0
52,52,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,0,Perfect Strangers,Jonas Blue,80,2016-06-03,196613,0.372,0.742,0.819,0.0,0.277,-5.307,0.0487,117.986,4,2017,1,1,0,0,0,0
53,53,The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,68,This Is Acting (Deluxe Version),Sia,88,2016-10-21,210226,0.0102,0.668,0.725,0.000479,0.0561,-6.127,0.266,191.944,4,2017,1,1,0,0,0,0
54,54,Ride,2Z8WuEywRWYTKe1NybPQEW,80,Blurryface,Twenty One Pilots,85,2015-05-15,214506,0.00835,0.645,0.713,0.0,0.113,-5.355,0.0393,74.989,4,2017,1,0,1,0,0,0
55,55,Bounce Back,0SGkqnVQo9KPytSri1H6cF,70,I Decided.,Big Sean,84,2017-02-03,222360,0.106,0.78,0.575,0.0,0.129,-5.628,0.139,81.502,4,2017,1,1,0,0,0,1
56,56,Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,70,4 Your Eyez Only,J. Cole,91,2016-12-09,264746,0.352,0.657,0.421,0.000218,0.187,-11.378,0.412,174.063,4,2017,1,0,0,0,0,1
57,57,Solo Dance,6HUnnBwYZqcED1eQztxMBN,0,Solo Dance,Martin Jensen,73,2016-11-04,174933,0.0435,0.744,0.836,0.0,0.194,-2.396,0.0507,114.965,4,2017,1,1,0,0,0,0
58,58,Work,14WWzenpaEgQZlqPq2nk4v,0,ANTI (Deluxe),Rihanna,92,2016-01-28,219320,0.0752,0.725,0.534,0.0,0.0919,-6.238,0.0946,91.974,4,2017,1,1,0,0,0,0
59,59,Too Good,11KJSRSgaDxqydKYiD2Jew,0,Views,Drake,98,2016-05-06,263373,0.0573,0.804,0.648,3.49e-05,0.102,-7.805,0.117,117.983,4,2017,1,0,0,0,0,1
60,60,Human,58zsLZPvfflaiIbNWoA22O,75,Human (Deluxe),Rag'n'Bone Man,73,2017-02-10,200186,0.393,0.602,0.707,0.0,0.165,-4.097,0.302,75.087,4,2017,1,0,0,0,0,0
61,61,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,0,Purpose (Deluxe),Justin Bieber,97,2015-11-13,233720,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4,2017,1,1,0,0,0,0
62,62,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,83,Blurryface,Twenty One Pilots,85,2015-05-15,202333,0.0462,0.734,0.637,2.29e-05,0.0602,-5.677,0.141,169.977,4,2017,1,0,1,0,0,0
63,63,Faded,7gHs73wELdeycvS48JfIos,71,Faded,Alan Walker,85,2015-12-04,212626,0.0291,0.589,0.651,3.2e-06,0.111,-5.097,0.0306,90.011,4,2017,1,0,0,0,0,0
64,64,Sorry,69bp2EbF7Q2rqc5N3ylezZ,0,Purpose (Deluxe),Justin Bieber,97,2015-11-13,200786,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4,2017,1,1,0,0,0,0
65,65,Panda,5OOkp4U9P9oL23maHFHL1h,0,New English,Desiigner,69,2016-06-26,246761,0.028,0.576,0.766,1.68e-06,0.366,-4.943,0.449,144.833,4,2017,1,0,0,0,0,0
66,66,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,76,us,Garrett Nash,70,2016-03-25,251033,0.687,0.492,0.275,0.0,0.101,-13.4,0.3,92.6,4,2017,1,1,0,0,0,0
67,67,Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP,66,Make Me (Cry),Noah Cyrus,76,2016-11-15,242081,0.592,0.588,0.471,0.00146,0.0733,-7.287,0.0577,152.881,4,2017,1,1,0,0,0,0
68,68,Water Under the Bridge,4vb4mFvYsr2h6enhjJsq9Y,0,25,Adele,90,2016-06-24,240426,0.0189,0.596,0.838,1.54e-05,0.108,-6.52,0.0704,94.982,4,2017,1,1,0,0,0,0
69,69,Cake By The Ocean,2aFiaMXmWsM3Vj72F9ksBl,0,DNCE,DNCE,75,2016-11-18,219146,0.156,0.774,0.764,0.0,0.0383,-5.445,0.0518,118.997,4,2017,1,1,0,0,0,0
70,70,The Greatest,6bLopGnirdrilrpdVB6Um1,66,This Is Acting (Deluxe Version),Sia,88,2016-10-21,210920,0.0174,0.639,0.785,0.00107,0.0512,-6.167,0.174,191.95,4,2017,1,1,0,0,0,0
71,71,Hymn for the Weekend - Seeb Remix,1OAiWI2oPmglaOiv9fdioU,31,A Head Full of Dreams Tour Edition,Coldplay,92,2015-12-04,212647,0.00868,0.564,0.849,4.68e-06,0.12,-3.516,0.0517,102.028,4,2017,1,1,0,0,0,0
72,72,The Ocean (feat. Shy Martin),2CPqh63wRVscbceKcPxwvv,69,The Ocean (feat. Shy Martin),Mike Perry,72,2016-04-15,183414,0.0225,0.632,0.575,1.81e-06,0.104,-6.478,0.029,90.037,4,2017,1,1,0,0,0,0
73,73,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,60,TMRW,Luke Christopher,55,2015-09-11,248337,0.0948,0.405,0.846,0.0,0.0666,-3.57,0.195,82.232,4,2017,1,0,0,0,0,0
74,74,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,75,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),Lil Wayne,91,2016-06-24,243490,0.255,0.502,0.786,0.0,0.65,-4.378,0.317,169.021,4,2017,1,0,0,0,0,1
75,75,Light It Up (feat. Nyla & Fuse ODG) - Remix,0L7loeTIg6akW84aEQZpCT,0,Peace Is The Mission: Extended,Major Lazer,79,2015-06-01,166138,0.0375,0.746,0.877,0.000833,0.233,-3.782,0.0666,107.985,4,2017,1,1,0,0,0,0
76,76,Setting Fires,0B8B8cVRFIG1yznoQe7c9s,0,Setting Fires,The Chainsmokers,86,2016-11-04,247426,0.017,0.626,0.717,0.0,0.261,-5.751,0.0375,105.039,4,2017,1,1,0,0,0,0
77,77,Controlla,6F609ICg9Spjrw1epsAnpa,0,Views,Drake,98,2016-05-06,245226,0.0773,0.607,0.476,0.0,0.113,-11.076,0.249,122.976,5,2017,1,0,0,0,0,1
78,78,Deu Onda,0EPxmvsG1BY5td4aTOkWBF,0,Deu Onda,MC G15,68,2016-12-15,144039,0.456,0.931,0.604,0.0,0.0488,-1.41,0.0573,129.926,4,2017,1,0,0,0,0,0
79,79,La Bicicleta,0sXvAOmXgjR2QUqLK1MltU,57,El Dorado,Shakira,86,2017-05-26,227706,0.198,0.736,0.964,2.32e-06,0.336,-2.147,0.129,179.935,4,2017,1,1,0,0,0,0
80,80,Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,0,Glory Days (Deluxe),Little Mix,84,2016-11-18,246240,0.0316,0.774,0.739,5.95e-06,0.119,-4.022,0.0952,126.002,4,2017,1,1,0,0,0,0
81,81,Into You,7yHEDfrJNd0zWOfXwydNH0,0,Dangerous Woman,Ariana Grande,93,2016-05-20,244453,0.0161,0.636,0.727,1.12e-06,0.151,-5.852,0.106,107.988,4,2017,1,1,0,0,0,0
82,82,Trust Nobody (feat. Selena Gomez & Tory Lanez),2wDjpPW3HZdA9quPPmZAMu,0,9,Cashmere Cat,62,2017-04-28,215670,0.494,0.42,0.636,0.0,0.122,-7.216,0.22,156.104,5,2017,1,1,0,0,0,0
83,83,Traicionera,5J1c3M4EldCfNxXwrwt8mT,0,Traicionera,Sebastian Yatra,87,2016-06-24,228466,0.142,0.776,0.669,0.0,0.219,-4.933,0.0638,91.012,4,2017,1,0,0,0,0,0
84,84,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,70,Sunset Lover,Petit Biscuit,69,2015,237792,0.729,0.783,0.467,0.809,0.109,-9.474,0.0503,90.838,4,2017,1,0,0,0,0,0
85,85,X (feat. Future),6fwdbPMwP1zVStm8FybmkO,70,Savage Mode,21 Savage,90,2016-07-15,258880,0.373,0.835,0.413,0.00133,0.101,-9.81,0.396,149.004,4,2017,1,0,0,0,0,1
86,86,Chill Bill (feat. J. Davi$ & Spooks),5uDASfU19gDxSjW8cnCaBp,75,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,65,2016-06-17,177184,0.0312,0.886,0.427,0.00099,0.0906,-10.028,0.145,108.034,4,2017,1,0,0,0,0,0
87,87,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,0,ANTI,Rihanna,92,2016-01-28,191600,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4,2017,1,1,0,0,0,0
88,88,7 Years,7129iqBafaphfc3WPCGC0L,49,Lukas Graham (Blue Album),Lukas Graham,75,2015-06-16,237300,0.29,0.742,0.479,0.0,0.391,-5.83,0.0551,119.951,4,2017,1,1,0,0,0,0
89,89,Juju on That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,57,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,45,2016-09-30,144244,0.00381,0.807,0.887,0.0,0.391,-3.892,0.275,160.517,4,2017,1,0,0,0,0,0
90,90,All Time Low,1CnPYaKxTVb4LWOtiGOm0m,70,The Human Condition,Jon Bellion,73,2016-06-10,217603,0.0584,0.617,0.567,0.0,0.0933,-4.188,0.0828,90.246,4,2017,1,0,0,0,0,0
91,91,Capsize,2XMTqoHHSH0lvuXrvIEdco,66,Truce - EP,FRENSHIP,60,2016-09-02,237706,0.0398,0.683,0.708,0.155,0.686,-6.244,0.0305,92.991,4,2017,1,0,0,0,0,0
92,92,Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,1,25,Adele,90,2016-06-24,223080,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023,4,2017,1,1,0,0,0,0
93,93,Fast Car,6OZh916QF8XNunWaP97WEZ,1,Fast Car,Jonas Blue,80,2015-12-04,212424,0.453,0.459,0.587,0.0,0.307,-6.983,0.0785,113.901,4,2017,1,1,0,0,0,0
94,94,Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,72,24K Magic,Bruno Mars,93,2016-11-17,261240,0.196,0.578,0.574,0.0,0.083,-6.209,0.0454,174.152,4,2017,1,1,0,0,0,0
95,95,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,63,Sneakin’,Drake,98,2016-10-24,251333,0.00496,0.806,0.558,1.45e-06,0.16,-6.538,0.172,85.011,4,2017,1,0,0,0,0,1
96,96,This Girl (Kungs Vs. Cookin' On 3 Burners),0tICYNayWWhH9GPeFrfjfD,0,Layers,Kungs,75,2016-11-04,195546,0.08,0.793,0.729,3.1e-05,0.317,-4.77,0.0394,121.972,4,2017,1,0,0,0,0,0
97,97,Shaky Shaky,58IL315gMSTD37DOZPJ2hf,0,Shaky Shaky,Daddy Yankee,94,2016-04-08,234320,0.076,0.899,0.626,0.0,0.0631,-4.228,0.292,88.007,4,2017,1,0,0,0,0,0
98,98,DUELE EL CORAZON (feat. Wisin),6YZdkObH88npeKrrkb8Ggf,67,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,81,2016-04-18,199693,0.0858,0.716,0.908,0.0,0.135,-3.254,0.103,91.03,4,2017,1,1,0,0,0,0
99,99,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),40UroIGvsMPLPBYwH8rMNA,0,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,49,2016-09-30,177094,0.153,0.779,0.671,1.12e-05,0.115,-5.829,0.0814,104.953,4,2017,1,0,0,0,0,0
100,100,Sidewalks,4h90qkbnW1Qq6pBhoPvwko,69,Starboy,The Weeknd,97,2016-11-25,231360,0.147,0.542,0.72,0.0,0.348,-5.136,0.0628,149.828,4,2017,1,1,0,0,0,0
101,101,Middle,4OZEu0Vwq0RB2LAq14v99n,0,Encore,DJ Snake,82,2016-08-05,220573,0.0199,0.611,0.7,0.0,0.0549,-5.331,0.0436,104.981,4,2017,1,1,0,0,0,0
102,102,Photograph,6fxVffaTuwjgEk5h9QyRjy,63,x (Wembley Edition),Ed Sheeran,96,2013,258986,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,2017,1,1,0,0,0,0
103,103,Sex,5DA77EqppDmCTWGovd4oTP,0,Sex,Cheat Codes,78,2016-02-19,228361,0.00451,0.51,0.692,0.0,0.138,-5.825,0.171,102.42,4,2017,1,1,0,0,0,0
104,104,Final Song,4qqArAiTPueDxIp7cf87h7,65,Final Song,MØ,74,2016-05-13,235826,0.014,0.695,0.672,7.95e-05,0.0756,-6.109,0.0345,104.988,4,2017,1,1,0,0,0,0
105,105,I Got You,1FUViuNSldssMIawrOXF2i,52,I Got You,Bebe Rexha,82,2016-10-28,191811,0.0504,0.609,0.887,4.76e-06,0.09,-4.749,0.0507,97.99,4,2017,1,1,0,0,0,0
106,106,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,76,When It's Dark Out,G-Eazy,81,2015-12-04,251466,0.0184,0.756,0.674,0.0,0.158,-6.518,0.0959,111.995,4,2017,1,1,0,0,0,1
107,107,Fresh Eyes,4nMlau89VAjmV7agkl7OY3,0,Fresh Eyes,Andy Grammer,75,2016-01-01,198001,0.562,0.822,0.544,2.4e-05,0.144,-6.797,0.0332,122.047,4,2017,1,1,0,0,0,0
108,108,Lighthouse - Andrelli Remix,04CttTezSnv71USiiG9mIo,52,Lighthouse (Andrelli Remix),Hearts & Colors,58,2016-11-11,218446,0.0178,0.595,0.662,0.0,0.0804,-6.858,0.0362,96.053,4,2017,1,0,0,0,0,0
109,109,No Heart,4gmmRb6bZJffOOiww1JGTO,71,Savage Mode,21 Savage,90,2016-07-15,235040,0.136,0.906,0.444,6.44e-05,0.173,-8.692,0.384,140.063,4,2017,1,0,0,0,0,1
110,110,Six Feet Under,4mU5iXHeLgbR94siF7p1sY,65,Starboy,The Weeknd,97,2016-11-25,237573,0.129,0.772,0.504,0.0,0.125,-8.219,0.0761,140.035,4,2017,1,1,0,0,0,0
111,111,Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,0,Dile Que Tu Me Quieres,Ozuna,91,2016-06-06,226400,0.0998,0.721,0.687,0.0,0.0679,-6.682,0.0782,175.914,4,2017,1,0,0,0,0,0
112,112,Lean On (feat. MØ & DJ Snake),4WjH9Bzt3kx7z8kl0awxh4,0,Peace Is The Mission,Major Lazer,79,2015-05-29,176561,0.00346,0.723,0.809,0.00123,0.565,-3.081,0.0625,98.007,4,2017,1,1,0,0,0,0
113,113,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",6stYbAJgTszHAHZMPxWWCY,0,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,65,2016-02-22,252003,0.167,0.761,0.829,0.0,0.189,-3.203,0.0681,92.033,4,2017,1,0,0,0,0,0
114,114,Love on Me,2MHCiOohBZEQuLgDTPvSzF,56,Love on Me,Galantis,81,2016-09-30,205920,0.105,0.562,0.906,0.0,0.145,-2.085,0.0758,124.146,4,2017,1,1,0,0,0,0
